key;english;spanish
new_game_button;New Game;Nuevo Juego
start_button;Start;Empezar
pass_name_button;Pass Name;Pasar Nombre
tutorial0;You are Soledad;Eres Soledad
tutorial1;;Y tienes Alzheimer.
tutorial2;;Ahora mismo, te acuerdas de tu madre, María, y de tu padre, Francisco.
tutorial3;;Estuviste casada con Luis.
tutorial4;;Con quién tuviste tres hijos, Luis-Francisco, Jorge and Javier.
tutorial5;;Tienes tres respectivas nueras: Socorro, Concha and Margarita.
tutorial6;;También tienes siete nietos:
tutorial7;;Almudena y Javi, de Luis-Francisco y Socorro
tutorial8;;David, Jaime y Ana, de Jorge y Concha
tutorial9;;y Luis y Alberto, de Javier y Margarita.
tutorial10;;El objetivo es recordar a todos los miembros de la familia, en el tiempo asignado.
tutorial11;;El siguiente nombre que recordar aparecerá en la esquina de abajo a la izquierda.
tutorial12;;Puedes acceder a cada nombre seleccionándo su parentesco...
tutorial13;;... y recordarlos al seleccionar su nombre.
tutorial14;;Puedes probar a moverte a través del árbol familiar.\nCuando estés lista para recordar,\ndale a Empezar.
dedicatoria;Para mi abuela\n\n\n\nQue en paz descanses;Para la abuela\n\n\n\nQue en paz descanses
end_text;;Ya no recuerdas a ninguno de tus familiares...
end_button;;FIN
try_again_button;;Vuelve a recordar
back_to_menu_button;;Volver al menú
finish_congrats;;¡Felicidades!\nHas recordado a todo el mundo.
finish_lost_memories1;;¡Oh oh!\nTu memoria ya no es tan rápida como antaño, esto te va a dejar algunas secuelas...\n\nHas olvidado 
finish_lost_memories2;; parentescos entre los miembros de tu familia. \n\nTodavía recuerdas 
finish_lost_memories3;; parentescos.
