key;english;spanish
new_game_button;New Game;Nuevo Juego
start_button;Start;Empezar
pass_name_button;Pass Name;Pasar Nombre
tutorial0;You are Soledad;Eres Soledad
tutorial1;And you have Alzheimer.;Y tienes Alzheimer.
tutorial2;At the moment, you remember your mother, Margarita and your father Jaime;Ahora mismo, te acuerdas de tu madre, María, y de tu padre, Francisco.
tutorial3;You were married to Carlos.;Estuviste casada con Luis.
tutorial4;With whom you had three children, Alberto, Francisco and David.;Con quién tuviste tres hijos, Luis-Francisco, Jorge y Javier.
tutorial5;You have the respective three daughters-in-law, Almudena, María and Ana.;Tienes tres respectivas nueras: Socorro, Concha and Margarita.
tutorial6;You also have seven grandchildren:;También tienes siete nietos:
tutorial7;Socorro and Luis-Francisco, from Alberto and Almudena;Almudena y Javi, de Luis-Francisco y Socorro
tutorial8;Jorge, Javier and Pilar, from Francisco and María;David, Jaime y Ana, de Jorge y Concha
tutorial9;and, Luis and Javi, from David and Ana.;y Luis y Alberto, de Javier y Margarita.
tutorial10;The objective is to remember all the members of your family, within the allocated time.;El objetivo es recordar a todos los miembros de la familia, en el tiempo asignado.
tutorial11;The next name to remember will appear in the bottom left corner.;El siguiente nombre que recordar aparecerá en la esquina de abajo a la izquierda.
tutorial12;You can access each name by selecting its family relationship…;Puedes acceder a cada nombre seleccionándo su parentesco...
tutorial13;… and you remember them by clicking on their name.;… y recordarlos al seleccionar su nombre.
tutorial14_1;You can now try navigating through the family tree.;Puedes probar a moverte a través del árbol familiar.
tutorial14_2;When you are ready to remember,;Cuando estés lista para recordar,
tutorial14_3;press Start.;dale a Empezar.
dedicatoria_1;Para mi abuela;Para mi abuela
dedicatoria_2;Que en paz descanses;Que en paz descanses
end_text;You don't remember any of your family members…;Ya no recuerdas a ninguno de tus familiares...
end_button;The end;FIN
try_again_button;Try again;Vuelve a recordar
back_to_menu_button;Back to menu;Volver al menú
finish_congrats_1;Congratulations!;¡Felicidades!
finish_congrats_2;You have remembered everyone.;Has recordado a todo el mundo.
finish_lost_memories1;Uh oh!;¡Oh oh!
finish_lost_memories2;Your memory is not as fast as it used to. It will probably leave some lasting effects…;Tu memoria ya no es tan rápida como antaño, esto te va a dejar algunas secuelas...
finish_lost_memories3;You have forgotten ;Has olvidado 
finish_lost_memories4; family relationships.; parentescos entre los miembros de tu familia.
finish_ending1;You still remember ;Todavía recuerdas 
finish_ending2; family relationships.; parentescos.
